A,B,C,D,E,F
34,232.42,30,317.32,-43.6633,-10.8865
13,106.42,32,337.1,-0.848048,-0.529919
25,178.26,16,177.41,-94.6742,-28.9448
9,83.1,3,47.42,-3.63193,-7.12805
6,64.46,25,267.37,-22.5372,-18.2503
18,136.22,30,317.05,30.5,52.8275
29,202.23,3,47.18,0,0
20,148.14,11,127.46,-75.2173,-41.6936
3,46.2,17,187.04,33.5516,49.7422
35,238.24,2,37.37,-22.0813,-24.5238
24,172.34,19,207.43,-14.3446,-4.38557
12,100.23,18,197.24,55.7024,39.0032
29,202.25,20,217.29,34.9842,12.046
36,244.18,9,107.22,55.5727,57.5471
18,136.12,8,97.37,-10.1976,-31.3849
13,106,24,257.21,12.2021,27.4064
36,244.31,8,97.44,25.8022,31.863
37,250.39,36,377.46,42.9447,16.4849
35,238.51,19,207.01,25.7002,17.335
38,256.46,6,77.43,-9.71243,-5.16418
34,232.11,28,297.27,-20.9201,-1.83027
32,220.24,36,377.29,91.2078,22.7406
0,28.21,11,127.53,7.64122,10.5172
2,40.26,3,47.1,2.57519,4.28583
12,100,35,367.27,67.9239,59.0453
35,238.33,11,127.21,53.1959,57.0456
14,112.47,29,307,48.4136,80.5737
12,100.11,8,97.33,-28.8411,-3.03132
5,58.02,22,237.38,-21.2093,-19.7779
7,70,31,327.4,27.721,68.6116
31,214.26,21,227.19,25.811,36.8618
36,244.09,2,37.43,7.04209,13.2442
2,40.36,31,327.19,-34.9716,-28.3194
35,238.5,32,337.15,26.7924,20.9325
26,184.18,18,197.26,71.8594,24.7432
23,166.45,26,277.41,61.6604,6.48076
36,244.16,35,367.56,-67.9896,-47.6068
28,196.08,30,317.36,67.6844,27.3463
26,183.97,10,117.27,-51.6043,-63.7259
25,178.33,38,397.4,19.6225,17.0575
20,148.18,14,157.03,36.1494,67.9869
9,82.51,8,97.22,-73.7802,-46.1029
27,189.98,28,297.46,30.4338,9.88854
7,70.27,33,347.14,-79.8636,-60.1815
34,232.54,0,17.41,-25.72,-74.6959
22,160.1,19,207.54,6.77228,8.66811
6,64.17,11,127.03,-7.48809,-21.7469
23,166.22,9,107.2,37.5116,38.8443
36,244.1,4,57.46,-43.1481,-77.8411
33,226.14,14,157.03,-28.9361,-37.0365
32,220.12,20,217.29,2.23677,3.31615
1,34.27,3,47.49,-40.2619,-59.6907
28,196.08,26,277.26,-40.9863,-20.8835
10,87.99,6,77.23,-62.1211,-27.6581
3,46.54,38,397.34,-16.9069,-1.77698
4,52.05,38,397.01,51.4939,7.237
27,190.1,5,67.07,-22.5772,-58.8155
31,214.34,37,387.06,24.5835,8.46477
14,112.45,6,76.97,72.4444,19.4114
21,154.15,8,97.56,-43.4935,-48.3044
22,160.28,23,247.49,20.6832,17.3553
27,190.51,0,17.22,3.88118,0.967687
11,94.25,6,77.25,68.6075,34.9572
12,100.2,21,227.28,69.4786,64.7898
1,34.33,6,76.98,-57.5248,-44.9433
37,250.38,16,177.17,-36.2485,-28.3204
28,195.98,17,187.37,-59.8673,-43.4961
10,88.06,1,27.33,57.603,79.2836
21,153.99,34,356.99,18.928,27.032
22,160.44,6,77.37,35.0226,58.2873
13,106.22,35,367.46,3.35516,4.97422
12,100.03,35,366.98,-12.7367,-31.5242
14,112.33,3,47.33,-44.496,-32.3282
35,238.23,35,366.98,-27.7864,-28.7736
11,93.99,8,97.55,-76.5669,-14.8831
4,52.04,22,237.48,27.0459,7.24693
33,226.09,6,77.25,-26.6676,-4.22373
33,226.44,21,227.33,-37.3304,-67.3457
29,202.27,4,57.02,-24.4894,-13.5747
26,184.4,26,277.11,-61.5183,-61.5183
10,88.34,27,287.01,20.8633,57.3212
16,124.31,7,87.31,-31.3719,-33.6423
39,262.44,39,407.09,44.1286,34.477
30,208.02,25,267.51,43.0963,55.1607
18,136.53,13,147.33,31.6978,27.5545
36,244.22,4,57.32,-10.7596,-2.28703
2,40.35,23,247.18,47.5044,21.1503
33,226.4,28,297.29,-61.4587,-21.1619
7,70.42,10,117.3,-66.3513,-46.4597
2,40.46,9,107.32,35.1891,11.4336
2,40.42,8,97.55,79.6956,6.97245
35,238.31,28,297.55,-3.40999,-3.65677
7,70.25,36,377.32,-64.4045,-18.4677
12,100.29,9,107.19,-31.7208,-14.7916
34,232.37,10,117.12,-14.6946,-20.2254
19,142.14,25,267.16,-20.3168,-26.0043
29,202.19,12,137.06,85.3009,34.4638
22,160.28,28,297.35,82.7419,26.8845
1,34.56,5,67.07,-17.6066,-43.5776
31,214.04,3,47.18,4.38559,14.3446
20,148.51,36,377.14,80.5404,46.5
35,238.32,38,397.04,68.8088,48.1804
26,184.43,22,237.23,-35.5968,-25.8625
19,142.15,32,337.22,-22.2493,-68.476
8,76.16,36,377.2,-71.1935,-51.7251
1,34.22,5,67.46,1.11839,1.65807
5,58.34,38,397.52,-3.82522,-1.16949
25,178.32,29,307.16,46.7287,39.21
32,220.38,23,247.53,6.45064,16.8044
13,106.55,23,247.47,27.6935,54.3514
1,34.11,13,147.56,20.6568,38.8497
22,160.38,37,387.37,28.3684,22.1638
34,232.5,0,17,67.884,51.1542
21,154.14,15,167.53,-29.4449,-17
32,220.48,3,47.13,-47.9962,-86.5873
36,244.32,30,316.98,54.1216,66.8345
28,196.17,27,287.02,-83.693,-27.1935
31,214.43,29,307.08,77.5325,26.6966
25,178.52,23,247.17,39.2825,17.4897
37,250.33,1,27.29,3.49848,1.93924
28,196.37,21,227.28,29.4929,28.481
9,82.26,31,327.14,86.1533,12.1081
32,220.15,2,37.38,-12.4651,-14.3395
